setup;computation;finalization
0:00.005;0:02.998;0:00.063
0:00.010;0:08.222;0:00.177
0:00.017;0:12.071;0:00.122
0:00.022;0:15.952;0:00.151
0:00.026;0:19.893;0:00.114
0:00.032;0:23.282;0:00.157
0:00.034;0:27.236;0:00.184
0:00.044;0:31.872;0:00.263
0:00.062;0:37.140;0:00.214
0:00.051;0:41.444;0:00.278
