setup;computation;finalization
0:00.005;0:03.358;0:00.033
0:00.012;0:08.195;0:00.115
0:00.019;0:11.951;0:00.106
0:00.019;0:15.828;0:00.157
0:00.105;0:20.256;0:00.151
0:00.031;0:24.237;0:00.135
0:00.035;0:28.438;0:00.193
0:00.036;0:32.165;0:00.259
0:00.038;0:36.537;0:00.288
0:00.051;0:40.505;0:00.348
