setup;computation;finalization
0:00.004;0:13.707;0:00.020
0:00.016;0:31.836;0:00.025
0:00.024;0:47.865;0:00.040
0:00.031;1:03.846;0:00.051
0:00.038;1:19.699;0:00.072
0:00.046;1:35.839;0:00.077
0:00.053;1:52.124;0:00.090
0:00.061;2:07.883;0:00.103
0:00.069;2:23.901;0:00.118
0:00.076;2:39.904;0:00.130
