setup;computation;finalization
0:00.013;0:01.613;0:00.018
0:00.033;0:09.600;0:00.029
0:00.032;0:10.748;0:00.061
0:00.064;0:15.551;0:00.063
0:00.051;0:11.261;0:00.078
0:00.061;0:11.465;0:00.096
0:00.079;0:12.494;0:00.132
0:00.081;0:14.416;0:00.155
0:00.092;0:17.049;0:00.161
0:00.099;0:18.132;0:00.165
